Plant_ID,2022_red,2022_yellow,2022_venation,2022_colour,2021_red,2021_yellow,2021_venation,2021_colour,2020_red,2020_yellow,2020_venation,2020_colour,2019_red,2019_yellow,2019_venation,2019_colour,2018_red,2018_yellow,2018_venation,2018_colour,2017_red,2017_yellow,2017_venation,2017_colour,2016_red,2016_yellow,2016_venation,2016_colour,2015_red,2015_yellow,2015_venation,2015_colour
pb0163,,,,,1,1,3.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0164,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0165,3,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0166,,,,,2,0.5,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0168,,,,,2,1,3,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0169,,,,,2,1,3.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0170,,,,,4,2,3,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0171,,,,,1,2.5,3.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0172,,,,,2,1,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0174,,,,,1,1,2,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0175,,,,,1.5,1,2,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0176,,,,,2.5,1,4,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0177,,,,,0.5,2,2,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0178,,,,,0.5,1.5,2,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0179,,,,,2,0.5,1,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0180,,,,,3,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0181,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0182,,,,,2,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0183,,,,,2,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0184,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0185,,,,,1.5,2.5,3,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0186,,,,,1.5,1.5,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0188,,,,,1.5,1.5,3.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0189,,,,,0.5,1.5,1.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0190,,,,,2,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0191,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0192,,,,,1,0.5,3,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0193,,,,,2.5,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0194,,,,,4,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0195,,,,,0.5,2.5,1,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0196,,,,,3,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0197,,,,,0.5,1,1.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0198,,,,,2.5,1,2,WR,,,,,,,,,,,,,,,,,,,,,,,,
