PlantID	fullname	batch_long	batch	species	location	Latitude	Longitude	Altitude	Pool	fullname_v3.5
PB0423	2x-N705-17_Am_Pla_pb0423	2x-N705-17	2x	Am	Pla	42.32275883	2.069537133	1226.933667	core	2x-N705-17_Am_Pla_pb0423_v3.5
PB0424	2x-N705-18_Am_Pla_pb0424	2x-N705-18	2x	Am	Pla	42.32280155	2.069495262	1225.584667	core	2x-N705-18_Am_Pla_pb0424_v3.5
PB0425	2x-N705-19_Am_Pla_pb0425	2x-N705-19	2x	Am	Pla	42.32284178	2.075306013	1199.002	core	2x-N705-19_Am_Pla_pb0425_v3.5
PB0364	2x-N705-2_Am_Pla_pb0364	2x-N705-2	2x	Am	Pla	42.32359479	2.079136284	1184.65	core	2x-N705-2_Am_Pla_pb0364_v3.5
PB0427	2x-N705-20_Am_Pla_pb0427	2x-N705-20	2x	Am	Pla	42.32274638	2.069550267	1225.862	core	2x-N705-20_Am_Pla_pb0427_v3.5
PB0428	2x-N705-21_Am_Pla_pb0428	2x-N705-21	2x	Am	Pla	42.32239954	2.073426421	1201.422333	core	2x-N705-21_Am_Pla_pb0428_v3.5
PB0429	2x-N705-22_Am_Pla_pb0429	2x-N705-22	2x	Am	Pla	42.32264544	2.069736681	1227.569333	core	2x-N705-22_Am_Pla_pb0429_v3.5
PB0432	2x-N705-23_Am_Pla_pb0432	2x-N705-23	2x	Am	Pla	42.32284604	2.069416534	1222.470667	core	2x-N705-23_Am_Pla_pb0432_v3.5
PB0435	2x-N705-24_Am_Pla_pb0435	2x-N705-24	2x	Am	Pla	42.32282934	2.069433247	1222.617333	core	2x-N705-24_Am_Pla_pb0435_v3.5
PB0436	2x-N705-25_Am_Pla_pb0436	2x-N705-25	2x	Am	Pla	42.32317406	2.076892579	1222.9495	core	2x-N705-25_Am_Pla_pb0436_v3.5
PB0437	2x-N705-26_Am_Pla_pb0437	2x-N705-26	2x	Am	Pla	42.32282442	2.068785485	1212.436333	core	2x-N705-26_Am_Pla_pb0437_v3.5
PB0438	2x-N705-27_Am_Pla_pb0438	2x-N705-27	2x	Am	Pla	42.32262804	2.069715458	1225.559667	core	2x-N705-27_Am_Pla_pb0438_v3.5
PB0440	2x-N705-28_Am_Pla_pb0440	2x-N705-28	2x	Am	Pla	42.3233417	2.068711985	1191.76125	core	2x-N705-28_Am_Pla_pb0440_v3.5
PB0441	2x-N705-29_Am_Pla_pb0441	2x-N705-29	2x	Am	Pla	42.32284593	2.069439982	1225.140333	core	2x-N705-29_Am_Pla_pb0441_v3.5
PB0405	2x-N705-3_Am_Pla_pb0405	2x-N705-3	2x	Am	Pla	42.3227693	2.069518595	1226.191333	core	2x-N705-3_Am_Pla_pb0405_v3.5
PB0442	2x-N705-30_Am_Pla_pb0442	2x-N705-30	2x	Am	Pla	42.32329127	2.07697012	1197.866667	core	2x-N705-30_Am_Pla_pb0442_v3.5
PB0443	2x-N705-31_Am_Pla_pb0443	2x-N705-31	2x	Am	Pla	42.32320064	2.076718483	1192.242333	core	2x-N705-31_Am_Pla_pb0443_v3.5
PB0445	2x-N705-32_Am_Pla_pb0445	2x-N705-32	2x	Am	Pla	42.32280164	2.069499422	1224.196667	core	2x-N705-32_Am_Pla_pb0445_v3.5
PB0447	2x-N705-33_Am_Pla_pb0447	2x-N705-33	2x	Am	Pla	42.32263157	2.069717728	1226.275333	core	2x-N705-33_Am_Pla_pb0447_v3.5
PB0448	2x-N705-34_Am_Pla_pb0448	2x-N705-34	2x	Am	Pla	42.3231971	2.076731266	1195.240333	core	2x-N705-34_Am_Pla_pb0448_v3.5
PB0450	2x-N705-35_Am_Pla_pb0450	2x-N705-35	2x	Am	Pla	42.32283417	2.069449193	1224.073	core	2x-N705-35_Am_Pla_pb0450_v3.5
PB0451	2x-N705-36_Am_Pla_pb0451	2x-N705-36	2x	Am	Pla	42.32271856	2.074364316	1197.307333	core	2x-N705-36_Am_Pla_pb0451_v3.5
PB0453	2x-N705-37_Am_Pla_pb0453	2x-N705-37	2x	Am	Pla	42.32282817	2.069442545	1222.601	core	2x-N705-37_Am_Pla_pb0453_v3.5
PB0454	2x-N705-38_Am_Pla_pb0454	2x-N705-38	2x	Am	Pla	42.32282181	2.069496764	1225.649	core	2x-N705-38_Am_Pla_pb0454_v3.5
PB0455	2x-N705-39_Am_Pla_pb0455	2x-N705-39	2x	Am	Pla	NA	NA	NA	NA	2x-N705-39_Am_Pla_pb0455_v3.5
PB0408	2x-N705-4_Am_Pla_pb0408	2x-N705-4	2x	Am	Pla	42.32271455	2.069616216	1228.002667	core	2x-N705-4_Am_Pla_pb0408_v3.5
PB0456	2x-N705-40_Am_Pla_pb0456	2x-N705-40	2x	Am	Pla	42.3233477	2.068782143	1182.61725	core	2x-N705-40_Am_Pla_pb0456_v3.5
PB0459	2x-N705-41_Am_Pla_pb0459	2x-N705-41	2x	Am	Pla	42.32281965	2.069502034	1226.497667	core	2x-N705-41_Am_Pla_pb0459_v3.5
PB0460	2x-N705-42_Am_Pla_pb0460	2x-N705-42	2x	Am	Pla	42.32251672	2.073721233	1202.896	core	2x-N705-42_Am_Pla_pb0460_v3.5
PB0461	2x-N705-43_Am_Pla_pb0461	2x-N705-43	2x	Am	Pla	42.32281676	2.074848829	1195.511667	core	2x-N705-43_Am_Pla_pb0461_v3.5
