ID			Plate	row	column	coord				10 coverage							
pb0380	N704	D75	4	C	10	C10	4C10											
pb0381	N704	D76	4	D	10	D10	4D10											
pb0382	N704	D77	4	E	10	E10	4E10											
pb0383	N704	D78	4	F	10	F10	4F10											
pb0384	N704	D79	4	G	10	G10	4G10											
pb0385	N704	D80	4	H	10	H10	4H10											
pb0387	N704	D81	4	A	11	A11	4A11											
pb0388	N704	D82	4	B	11	B11	4B11											
pb0389	N704	D83	4	C	11	C11	4C11											
pb0390	N704	D84	4	D	11	D11	4D11											
pb0391	N704	D85	4	E	11	E11	4E11											
pb0392	N704	D86	4	F	11	F11	4F11											
pb0393	N704	D87	4	G	11	G11	4G11											
pb0394	N704	D88	4	H	11	H11	4H11											
pb0395	N704	D89	4	A	12	A12	4A12											
pb0396	N704	D90	4	B	12	B12	4B12											
pb0397	N704	D91	4	C	12	C12	4C12											
pb0398	N704	D92	4	D	12	D12	4D12											
pb0399	N704	D93	4	E	12	E12	4E12											
pb0400	N704	D94	4	F	12	F12	4F12											
pb0401	N704	D95	4	G	12	G12	4G12											
pb0402	N704	D96	4	H	12	H12	4H12											
pb0405	N705	D02	5	B	1	B1	5B1											
pb0408	N705	D04	5	D	1	D1	5D1											
pb0409	N705	D05	5	E	1	E1	5E1											
pb0410	N705	D06	5	F	1	F1	5F1											
pb0412	N705	D07	5	G	1	G1	5G1											
pb0413	N705	D08	5	H	1	H1	5H1											
pb0414	N705	D09	5	A	2	A2	5A2											
pb0415	N705	D10	5	B	2	B2	5B2											
pb0416	N705	D11	5	C	2	C2	5C2											
pb0418	N705	D12	5	D	2	D2	5D2											
pb0419	N705	D13	5	E	2	E2	5E2											
pb0420	N705	D14	5	F	2	F2	5F2											
pb0421	N705	D15	5	G	2	G2	5G2											
pb0422	N705	D16	5	H	2	H2	5H2											
pb0423	N705	D17	5	A	3	A3	5A3											
pb0424	N705	D18	5	B	3	B3	5B3											
pb0425	N705	D19	5	C	3	C3	5C3											
pb0427	N705	D20	5	D	3	D3	5D3											
pb0428	N705	D21	5	E	3	E3	5E3											
pb0429	N705	D22	5	F	3	F3	5F3											
pb0432	N705	D23	5	G	3	G3	5G3											
pb0435	N705	D24	5	H	3	H3	5H3											
pb0436	N705	D25	5	A	4	A4	5A4											
pb0437	N705	D26	5	B	4	B4	5B4											
pb0438	N705	D27	5	C	4	C4	5C4											
pb0440	N705	D28	5	D	4	D4	5D4											
pb0441	N705	D29	5	E	4	E4	5E4											
pb0442	N705	D30	5	F	4	F4	5F4											
pb0443	N705	D31	5	G	4	G4	5G4											
pb0445	N705	D32	5	H	4	H4	5H4											
pb0447	N705	D33	5	A	5	A5	5A5											
pb0448	N705	D34	5	B	5	B5	5B5											
pb0450	N705	D35	5	C	5	C5	5C5											
pb0451	N705	D36	5	D	5	D5	5D5											
pb0453	N705	D37	5	E	5	E5	5E5											
pb0454	N705	D38	5	F	5	F5	5F5											
pb0455	N705	D39	5	G	5	G5	5G5											
pb0456	N705	D40	5	H	5	H5	5H5											
pb0459	N705	D42	5	B	6	B6	5B6											
pb0460	N705	D43	5	C	6	C6	5C6											
pb0461	N705	D44	5	D	6	D6	5D6											
pb0462	N705	D45	5	E	6	E6	5E6											
pb0463	N705	D46	5	F	6	F6	5F6											
pb0465	N705	D48	5	H	6	H6	5H6											
pb0468	N705	D49	5	A	7	A7	5A7											
pb0469	N705	D50	5	B	7	B7	5B7											
pb0472	N705	D51	5	C	7	C7	5C7											
pb0474	N705	D52	5	D	7	D7	5D7											
pb0476	N705	D53	5	E	7	E7	5E7											
pb0479	N705	D54	5	F	7	F7	5F7											
pb0480	N705	D55	5	G	7	G7	5G7											
pb0482	N705	D56	5	H	7	H7	5H7											
pb0484	N705	D57	5	A	8	A8	5A8											
pb0485	N705	D58	5	B	8	B8	5B8											
pb0486	N705	D59	5	C	8	C8	5C8											
pb0487	N705	D60	5	D	8	D8	5D8											
pb0489	N705	D61	5	E	8	E8	5E8											
pb0491	N705	D62	5	F	8	F8	5F8											
pb0494	N705	D63	5	G	8	G8	5G8											
pb0495	N705	D64	5	H	8	H8	5H8											
pb0498	N705	D65	5	A	9	A9	5A9											
pb0500	N705	D66	5	B	9	B9	5B9											
pb0526	N705	D67	5	C	9	C9	5C9											
pb0539	N705	D68	5	D	9	D9	5D9											
pb0547	N705	D69	5	E	9	E9	5E9											
pb0059	N705	D70	5	F	9	F9	5F9											
pb0364	N705	D71	5	G	9	G9	5G9											
pb0731	N705	D72	5	H	9	H9	5H9											
pb0733	N705	D73	5	A	10	A10	5A10											
pb0738	N705	D74	5	B	10	B10	5B10											
pb0740	N705	D75	5	C	10	C10	5C10											
pb0743	N705	D76	5	D	10	D10	5D10											
pb0746	N705	D77	5	E	10	E10	5E10											
pb0747	N705	D78	5	F	10	F10	5F10											
pb0750	N705	D79	5	G	10	G10	5G10											
pb0754	N705	D80	5	H	10	H10	5H10											
pb0757	N705	D81	5	A	11	A11	5A11											
pb0758	N705	D82	5	B	11	B11	5B11											
pb0759	N705	D83	5	C	11	C11	5C11											
pb0760	N705	D84	5	D	11	D11	5D11											
pb0761	N705	D85	5	E	11	E11	5E11											
pb0763	N705	D86	5	F	11	F11	5F11											
pb0764	N705	D87	5	G	11	G11	5G11											
pb0765	N705	D88	5	H	11	H11	5H11											
pb0766	N705	D89	5	A	12	A12	5A12											
pb0767	N705	D90	5	B	12	B12	5B12											
pb0769	N705	D92	5	D	12	D12	5D12											
pb0770	N705	D93	5	E	12	E12	5E12											
pb0771	N705	D94	5	F	12	F12	5F12											
pb0772	N705	D95	5	G	12	G12	5G12											
pb0773	N705	D96	5	H	12	H12	5H12											
pb0774	N706	D01	6	A	1	A1	6A1											
pb0775	N706	D02	6	B	1	B1	6B1											
pb0777	N706	D03	6	C	1	C1	6C1											
pb0778	N706	D04	6	D	1	D1	6D1											
