PlantID	Group	Coverage_mean	Coverage_stdev	GT_percentage	MappingQuality	InsertSize_median	Coverage_bin
PB2911	2x	1.1381	9.3733	35.85	40.7217	196	Low
PB4296	2x	2.0026	15.7573	35.85	41.9383	196	Low
PB4297	2x	1.8564	13.1681	35.79	41.7334	197	Low
PB4298	2x	2.1502	17.7202	35.88	41.9852	197	Low
PB4299	2x	2.1766	16.0877	35.85	42.1166	196	Low
PB4300	2x	2.6747	14.9652	35.67	42.4075	189	Low
PB4301	2x	2.039	18.1201	35.87	41.9701	192	Low
PB4303	2x	2.0122	15.1403	35.79	41.9485	193	Low
PB4306	2x	1.838	11.1829	35.7	41.6584	193	Low
PB4308	2x	1.5358	11.0341	35.84	41.3724	197	Low
PB4310	2x	2.0139	17.4191	35.82	41.9598	195	Low
PB2912	2x	1.6641	15.3038	35.84	41.3108	199	Low
PB4311	2x	1.7386	11.4644	35.85	41.5416	200	Low
PB4313	2x	1.9811	17.316	35.98	41.7816	197	Low
PB4314	2x	1.6708	12.8383	35.94	41.7637	198	Low
PB4315	2x	2.411	21.0549	35.9	42.199	191	Low
PB4316	2x	2.1489	10.0029	35.76	42.1113	193	Low
PB4319	2x	1.983	19.6361	35.91	42.0072	192	Low
PB4323	2x	1.5862	12.7031	35.83	41.3738	201	Low
PB4324	2x	2.3034	21.3329	35.79	42.0672	194	Low
PB4329	2x	2.6398	17.2345	35.72	42.3489	193	Low
PB4330	2x	2.4105	14.0823	35.75	42.3911	194	Low
PB2914	2x	1.7195	23.4135	36.28	41.3838	197	Low
PB4331	2x	2.6079	22.8833	35.83	42.2821	192	Low
PB4561	2x	2.2246	24.3228	35.96	42.0946	188	Low
PB4562	2x	1.8145	11.174	35.66	41.7479	194	Low
PB4564	2x	1.1273	10.0365	35.81	40.6559	201	Low
PB2916	2x	1.9225	21.0201	36.01	41.7104	203	Low
PA0344	2x	2.2698	20.2937	36.43	41.711	188	Low
PA0349	2x	1.4952	16.6841	36.39	40.8331	193	Low
PA0350	2x	2.4062	25.318	36.43	41.6683	186	Low
PA0356	2x	1.9443	26.6118	36.57	41.3837	186	Low
PA0447	2x	2.2726	16.871	36.32	41.8573	187	Low
PA0448	2x	1.6772	14.0724	36.27	41.0283	188	Low
PA0460	2x	1.6268	12.7689	36.26	40.8922	192	Low
PA0666	2x	1.8427	20.2687	36.55	40.9149	187	Low
PA0760	2x	1.3537	11.9722	36.31	40.8732	193	Low
PA0981	2x	1.773	13.8482	36.24	41.8843	184	Low
PA0212	2x	2.0207	10.7924	36.19	41.4602	187	Low
PA0986	2x	2.1368	17.249	36.51	41.5254	187	Low
PA0994	2x	2.345	13.6611	36.17	41.7664	183	Low
PA0998	2x	2.177	16.7572	36.36	41.6526	185	Low
PA0999	2x	2.5166	26.7422	36.5	41.734	187	Low
PA1148	2x	2.2361	17.8314	36.53	41.6901	185	Low
PA1168	2x	1.5641	14.5741	37.07	40.9969	190	Low
PA1179	2x	2.013	21.3552	36.42	41.3138	187	Low
PA1291	2x	1.7171	19.4288	36.48	40.9995	187	Low
PA1308	2x	1.8642	16.8971	36.37	41.3006	189	Low
PA1321	2x	1.9044	19.9517	36.28	41.4029	187	Low
PA0283	2x	2.3831	15.7582	36.25	41.931	188	Low
PA1799	2x	2.0941	16.7722	36.12	41.9525	181	Low
PA1849	2x	1.6023	12.6112	36.25	41.1359	184	Low
PA1851	2x	1.942	18.4545	36.39	41.1835	183	Low
PA1852	2x	0.9758	8.0149	36.3	40.0156	194	Low
PB4565	2x	2.6302	15.9014	36.27	41.4367	189	Low
PB4566	2x	2.1163	18.8586	36.51	40.8973	189	Low
PB4567	2x	2.4033	19.3458	36.55	41.1707	188	Low
PB4568	2x	2.38	19.6964	36.38	41.3027	189	Low
PB4569	2x	2.0984	13.4967	36.21	40.9532	190	Low
PB4570	2x	1.8509	16.1084	36.4	40.7575	191	Low
PA0291	2x	1.7732	11.862	36.2	41.0429	187	Low
PB4572	2x	1.7564	15.7272	36.38	40.519	188	Low
PB4574	2x	2.0671	14.6101	36.35	41.084	187	Low
PB4575	2x	1.6379	20.6903	36.63	41.0432	190	Low
PB4576	2x	2.3156	16.1508	36.23	42.0039	188	Low
PB4578	2x	2.3897	23.1896	36.37	41.8742	182	Low
PB4579	2x	2.1118	20.7828	36.46	41.6644	184	Low
PB4580	2x	2.0189	23.4778	36.56	41.4969	189	Low
PB4701	2x	1.5194	11.4482	36.19	41.1363	188	Low
PB4702	2x	1.8787	13.898	36.37	41.5335	189	Low
PB4703	2x	1.4754	13.6717	36.46	41.0698	192	Low
PA0299	2x	1.9372	11.9291	36.23	41.5359	189	Low
PB4704	2x	2.025	13.6053	36.4	41.4169	193	Low
PB4705	2x	2.3263	22.0158	36.57	41.6872	186	Low
PB4707	2x	2.2416	18.0305	36.41	41.973	185	Low
PB4714	2x	2.3807	20.6106	36.47	41.8478	186	Low
PB4715	2x	1.8356	15.1776	36.33	41.6068	191	Low
PB4716	2x	2.1673	19.0191	36.3	41.4315	187	Low
PB4717	2x	1.4378	11.288	36.45	40.8696	190	Low
